Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST
15/08/2024,Ath Bilbao,Getafe,1,1,D,7,9,4,2
15/08/2024,Betis,Girona,1,1,D,19,13,4,2
16/08/2024,Celta,Alaves,2,1,H,6,10,4,2
16/08/2024,Las Palmas,Sevilla,2,2,D,13,16,5,5
17/08/2024,Osasuna,Leganes,1,1,D,16,10,5,4
17/08/2024,Valencia,Barcelona,1,2,A,6,18,1,8
18/08/2024,Sociedad,Vallecano,1,2,A,11,12,5,5
18/08/2024,Mallorca,Real Madrid,1,1,D,12,13,5,4
19/08/2024,Valladolid,Espanol,1,0,H,12,10,3,2
19/08/2024,Villarreal,Ath Madrid,2,2,D,8,10,3,5
23/08/2024,Celta,Valencia,3,1,H,7,13,5,5
23/08/2024,Sevilla,Villarreal,1,2,A,15,6,9,5
24/08/2024,Osasuna,Mallorca,1,0,H,15,11,5,2
24/08/2024,Barcelona,Ath Bilbao,2,1,H,13,9,5,2
24/08/2024,Espanol,Sociedad,0,1,A,13,8,3,4
24/08/2024,Getafe,Vallecano,0,0,D,12,3,0,1
25/08/2024,Real Madrid,Valladolid,3,0,H,17,8,9,2
25/08/2024,Leganes,Las Palmas,2,1,H,10,10,5,5
25/08/2024,Alaves,Betis,0,0,D,3,13,1,3
25/08/2024,Ath Madrid,Girona,3,0,H,11,13,6,5
26/08/2024,Villarreal,Celta,4,3,H,22,18,9,8
27/08/2024,Mallorca,Sevilla,0,0,D,12,16,4,7
27/08/2024,Vallecano,Barcelona,1,2,A,8,22,4,5
28/08/2024,Ath Bilbao,Valencia,1,0,H,13,2,4,0
28/08/2024,Valladolid,Leganes,0,0,D,12,8,2,1
28/08/2024,Ath Madrid,Espanol,0,0,D,24,8,7,1
28/08/2024,Sociedad,Alaves,1,2,A,8,12,1,5
29/08/2024,Girona,Osasuna,4,0,H,10,1,5,0
29/08/2024,Las Palmas,Real Madrid,1,1,D,7,25,3,8
31/08/2024,Barcelona,Valladolid,7,0,H,23,5,10,2
31/08/2024,Ath Bilbao,Ath Madrid,0,1,A,8,9,1,2
